context,prediction,compl_prediction,freq,prop,ngram
happi mother,day,day,2806,7.1152535669963e-05,3
let us,know,know,2708,6.86675219509123e-05,3
happi new,year,year,1834,4.65052567422353e-05,3
two year,ago,ago,1594,4.04195088588457e-05,3
look forward,see,see,1593,4.03941515759982e-05,3
new year,eve,even,932,2.36329876138295e-05,3
dream come,true,true,932,2.36329876138295e-05,3
first time,sinc,since,906,2.29736982597956e-05,3
will take,place,place,879,2.22890516229143e-05,3
year old,man,man,831,2.10719020462364e-05,3
year old,son,son,829,2.10211874805415e-05,3
want make,sure,sure,817,2.0716900086372e-05,3
make feel,like,like,799,2.02604689951178e-05,3
two week,ago,ago,786,1.99308243181008e-05,3
three year,ago,ago,767,1.94490359439992e-05,3
year old,daughter,daughter,761,1.92968922469144e-05,3
year old,boy,boy,721,1.82826009330161e-05,3
high school,student,students,717,1.81811718016263e-05,3
four year,ago,ago,694,1.75979542961348e-05,3
year old,girl,girl,693,1.75725970132874e-05,3
just got,back,back,664,1.68372358107111e-05,3
five year,ago,ago,626,1.58736590625078e-05,3
coupl week,ago,ago,608,1.54172279712536e-05,3
past two,year,year,597,1.51382978599315e-05,3
make feel,better,better,588,1.49100823143044e-05,3
keep good,work,work,580,1.47072240515248e-05,3
follow look,forward,forward,577,1.46311522029824e-05,3
realli look,forward,forward,561,1.42254356774231e-05,3
long time,ago,ago,543,1.37690045861689e-05,3
pleas let,know,know,540,1.36929327376265e-05,3
just make,sure,sure,540,1.36929327376265e-05,3
cant wait,see,see,538,1.36422181719316e-05,3
wall street,journal,journal,537,1.36168608890842e-05,3
graduat high,school,school,536,1.35915036062367e-05,3
said year,old,old,533,1.35154317576943e-05,3
just want,say,say,533,1.35154317576943e-05,3
make look,like,like,530,1.3439359909152e-05,3
happi valentin,day,day,529,1.34140026263045e-05,3
coupl year,ago,ago,516,1.30843579492876e-05,3
cent per,share,share,515,1.30590006664401e-05,3
spend much,time,time,515,1.30590006664401e-05,3
thank follow,look,look,511,1.29575715350503e-05,3
make sure,get,get,505,1.28054278379655e-05,3
superior court,judg,judge,504,1.27800705551181e-05,3
last two,year,year,504,1.27800705551181e-05,3
counti prosecutor,offic,office,497,1.26025695751859e-05,3
counti sheriff,offic,office,497,1.26025695751859e-05,3
chief execut,offic,office,495,1.2551855009491e-05,3
year old,woman,woman,491,1.24504258781012e-05,3
just let,know,know,489,1.23997113124062e-05,3
sever year,ago,ago,480,1.21714957667791e-05,3
thank everyon,came,came,478,1.21207812010842e-05,3
world trade,center,center,474,1.20193520696944e-05,3
first time,year,year,474,1.20193520696944e-05,3
new year,resolut,resolution,470,1.19179229383046e-05,3
senior vice,presid,president,469,1.18925656554571e-05,3
just got,home,home,468,1.18672083726097e-05,3
follow follow,back,back,467,1.18418510897622e-05,3
hope everyon,great,great,467,1.18418510897622e-05,3
spend lot,time,time,465,1.17911365240673e-05,3
one day,will,will,461,1.16897073926775e-05,3
first time,ever,every,458,1.16136355441351e-05,3
everi singl,day,day,453,1.14868491298978e-05,3
hope great,day,day,446,1.13093481499656e-05,3
attorney general,offic,office,445,1.12839908671182e-05,3
s district,judg,judge,444,1.12586335842707e-05,3
hope feel,better,better,443,1.12332763014232e-05,3
s district,court,court,440,1.11572044528809e-05,3
told associ,press,press,439,1.11318471700334e-05,3
first round,pick,pick,438,1.1106489887186e-05,3
mother day,mom,moment,437,1.10811326043385e-05,3
happi birthday,hope,hope,436,1.1055775321491e-05,3
nation weather,servic,service,432,1.09543461901012e-05,3
amazon servic,amazon,amazon,426,1.08022024930165e-05,3
right now,just,just,414,1.0497915098847e-05,3
will let,know,know,414,1.0497915098847e-05,3
time last,year,year,413,1.04725578159995e-05,3
execut vice,presid,president,411,1.04218432503046e-05,3
look forward,tweet,tweet,411,1.04218432503046e-05,3
hope see,soon,soon,410,1.03964859674572e-05,3
occupi wall,street,street,410,1.03964859674572e-05,3
look forward,next,next,409,1.03711286846097e-05,3
thank follow,hope,hope,406,1.02950568360673e-05,3
look forward,hear,heart,405,1.02696995532199e-05,3
year ago,today,today,403,1.0218984987525e-05,3
said execut,director,director,401,1.01682704218301e-05,3
let know,think,think,400,1.01429131389826e-05,3
averag point,rebound,rebound,399,1.01175558561352e-05,3
chief financi,offic,office,397,1.00668412904402e-05,3
last year,said,said,397,1.00668412904402e-05,3
s suprem,court,court,393,9.96541215905041e-06,3
look forward,meet,meet,393,9.96541215905041e-06,3
good morn,everyon,everyone,392,9.94005487620296e-06,3
go right,now,now,391,9.9146975933555e-06,3
major leagu,basebal,baseball,388,9.83862574481313e-06,3
said last,week,week,384,9.7371966134233e-06,3
two year,old,old,383,9.71183933057585e-06,3
go back,sleep,sleep,383,9.71183933057585e-06,3
just got,done,done,378,9.58505291633857e-06,3
